ObjectName,HoopNumber,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Point1x,Point1y,Point2x,Point2y,RotatedPoint1x,RotatedPoint1y,RotatedPoint2x,RotatedPoint2y,Direction
RoundGate 21,22,251.8265,282.464,215.9858,0,0.26179939314247,0,253.638233351846,222.747280774343,250.014766648154,209.224319225657,245.065019225657,217.797533351846,258.587980774343,214.174066648154,R
RoundGate 22,23,143.9004,297.3,202.1811,0,0.785398051940941,0,148.850146916624,207.130848019987,138.950653083376,197.231351980013,138.950651980013,207.130846916624,148.850148019987,197.231353083376,R
RoundGate 23,24,56.656,318.84,175.4216,0,0.0371486161319025,0,56.9159805069252,182.416770486559,56.3960194930748,168.426429513442,49.6608295134415,175.681580506925,63.6511704865585,175.161619493075,L
RoundGate 24,25,16.82891,323.8647,140.3704,0,0.785398051940941,0,21.7786569166242,145.320148019987,11.8791630833758,135.420651980013,11.8791619800126,145.320146916624,21.7786580199874,135.420653083376,L
RoundGate 25,26,11.81405,334.2462,73.72477,0,0.872664599865823,0,17.1763609842545,78.2242834079302,6.45173901574548,69.2252565920699,7.31453659206985,79.0870809842545,16.3135634079302,68.3624590157455,L
RoundGate 26,27,43.39384,304.6,-30.88041,0,0.959931003407922,0,49.1279039679863,-26.8653744570637,37.6597760320137,-34.8954455429363,39.3788044570637,-25.1463460320137,47.4088755429363,-36.6144739679863,S
RoundGate 27,28,59.59438,302.72,-122.2037,0,1.13446404894753,0,65.9385346132454,-119.24537239082,53.2502253867546,-125.16202760918,56.6360523908198,-115.859545386755,62.5527076091802,-128.547854613245,S
RoundGate 28,29,112.1312,307.74,-179.731,0,1.5707963267949,0,119.1312,-179.731,105.1312,-179.731,112.1312,-172.731,112.1312,-186.731,L
RoundGate 29,30,193.3101,311.91,-213.6544,0,1.32645005567572,0,200.102169786155,-211.960945536485,186.518030213845,-215.347854463515,191.616645536485,-206.862330213845,195.003554463515,-220.446469786155,L
RoundGate 30,31,240.2032,311.54,-302.8468,0,1.32645005567572,0,246.995269786155,-301.153345536485,233.411130213845,-304.540254463515,238.509745536485,-296.054730213845,241.896654463515,-309.638869786155,R
